CZ ,Name_of_CZ,Census_2000_population,State_Abbrev.,State,Urban_Areas,p25_coef,p25_se,p25_se_boot
20001,Bangor,289843,ME,Maine,1,0.030,0.276,0.277
20002,Calais,33941,ME,Maine,0,-0.469,0.693,0.793
20003,Presque Isle,73938,ME,Maine,0,0.451,0.478,0.394
20100,Portland,690459,ME,Maine,1,0.171,0.201,0.223
20200,Burlington,321496,VT,Vermont,1,-0.110,0.331,0.312
20301,Berlin,95549,VT,Vermont,0,-0.042,0.381,0.390
20302,Claremont,265884,VT,Vermont,0,0.045,0.273,0.278
20401,Providence,1582997,RI,Rhode Island,1,-0.053,0.130,0.122
20402,Nantucket,9520,MA,Massachusetts,0,,,
20403,Oak Bluffs,14987,MA,Massachusetts,0,,,
20500,Boston,4974945,MA,Massachusetts,1,0.038,0.089,0.093
20600,Manchester,1193391,NH,New Hampshire,1,-0.102,0.139,0.151
20700,Keene,118041,NH,New Hampshire,0,0.253,0.373,0.411
20800,Springfield,680014,MA,Massachusetts,1,-0.237,0.188,0.188
20901,Bridgeport,3405565,CT,Connecticut,1,-0.115,0.093,0.088
20902,Pittsfield,171947,MA,Massachusetts,1,-0.642,0.393,0.375
21001,Ashland,47701,WI,Wisconsin,0,1.107,0.674,0.907
21002,Houghton,47063,MI,Michigan,0,1.702,1.561,1.733
21003,Ironwood,32049,MI,Michigan,0,1.879,1.792,1.657
21004,Rhinelander,67833,WI,Wisconsin,0,-0.122,0.537,0.569
21101,Rice Lake,92542,WI,Wisconsin,0,0.260,0.403,0.437
21102,Amery,56993,WI,Wisconsin,0,0.991,0.439,0.480
21201,Hutchinson,72898,MN,Minnesota,1,1.671,0.518,0.518
21202,Redwood Falls,33969,MN,Minnesota,0,2.066,0.711,0.964
21301,Mankato,149925,MN,Minnesota,1,0.891,0.455,0.457
21302,Owatonna,109871,MN,Minnesota,0,0.503,0.513,0.547
21400,St. Cloud,254139,MN,Minnesota,1,-0.051,0.276,0.301
21501,Minneapolis,2904389,MN,Minnesota,1,0.116,0.120,0.115
21502,Pine City,41526,MN,Minnesota,0,0.054,0.472,0.425
21600,Brainerd,141542,MN,Minnesota,0,0.130,0.354,0.321
21701,Rochester,228867,MN,Minnesota,1,0.556,0.364,0.347
21702,Austin,71187,MN,Minnesota,0,0.124,0.618,0.718
21801,Mason City,78179,IA,Iowa,0,0.027,0.675,0.780
21802,Decorah,72111,IA,Iowa,0,1.364,0.602,0.651
21900,Marshalltown,113442,IA,Iowa,0,0.714,0.509,0.573
22001,Waterloo,222112,IA,Iowa,1,0.546,0.434,0.473
22002,Iowa Falls,29516,IA,Iowa,0,0.029,0.949,1.232
22100,Iowa City,203768,IA,Iowa,1,0.275,0.389,0.447
22200,Cedar Rapids,252901,IA,Iowa,1,0.386,0.389,0.479
22300,Ottumwa,142385,IA,Iowa,0,0.828,0.485,0.596
22400,Sheboygan,195533,WI,Wisconsin,1,-0.207,0.400,0.416
22500,Oshkosh,549651,WI,Wisconsin,1,0.284,0.237,0.248
22601,Green Bay,310560,WI,Wisconsin,1,0.329,0.297,0.243
22602,Shawano,65966,WI,Wisconsin,0,-0.767,0.452,0.450
22700,Wausau,370092,WI,Wisconsin,1,0.563,0.270,0.305
22800,Eau Claire,305307,WI,Wisconsin,1,0.338,0.284,0.297
22900,La Crosse,220109,WI,Wisconsin,1,0.371,0.324,0.342
23000,Monroe,116624,WI,Wisconsin,1,0.028,0.382,0.399
23100,Madison,590755,WI,Wisconsin,1,0.065,0.219,0.214
23200,Dubuque,163189,IA,Iowa,1,0.525,0.423,0.454
23301,Charleston,101161,IL,Illinois,0,0.372,0.504,0.521
23302,Douglas,101195,IL,Illinois,0,-1.000,0.501,0.510
23400,Bloomington,206909,IL,Illinois,1,0.378,0.349,0.330
23500,Decatur,382083,IL,Illinois,1,0.082,0.254,0.252
23600,Burlington,136489,IA,Iowa,0,0.628,0.484,0.507
23700,Galesburg,145734,IL,Illinois,0,0.710,0.399,0.400
23801,Davenport,382351,IL,Illinois,1,0.114,0.277,0.288
23802,Clinton,70445,IA,Iowa,0,1.392,0.513,0.615
23900,Peoria,529703,IL,Illinois,1,0.019,0.233,0.243
24000,Kenosha,584474,WI,Wisconsin,1,-0.179,0.176,0.180
24100,Milwaukee,1660659,WI,Wisconsin,1,0.045,0.135,0.123
24200,Bourbonnais,135167,IL,Illinois,1,0.486,0.319,0.287
24300,Chicago,8183799,IL,Illinois,1,-0.180,0.059,0.061
24400,Rockford,622573,IL,Illinois,1,-0.141,0.180,0.192
24500,Rolla,111509,MO,Missouri,0,0.622,0.345,0.384
24600,Farmington,137456,MO,Missouri,0,0.087,0.311,0.321
24701,St. Louis,2325609,MO,Missouri,1,-0.025,0.120,0.126
24702,Mexico,37989,MO,Missouri,0,-0.405,0.557,0.532
24801,Jacksonville,84748,IL,Illinois,0,0.557,0.502,0.561
24802,Springfield,267992,IL,Illinois,1,-0.293,0.292,0.308
24900,Edwardsville,382997,IL,Illinois,1,0.048,0.233,0.198
25000,Quincy,152421,IL,Illinois,0,-0.267,0.466,0.488
25101,Mountain Home,64068,AR,Arkansas,0,0.148,0.490,0.537
25102,West Plains,90551,MO,Missouri,0,1.350,0.408,0.512
25103,Harrison,76174,AR,Arkansas,0,-0.344,0.448,0.520
25104,Heber Springs,51737,AR,Arkansas,0,0.222,0.530,0.532
25105,Batesville,64601,AR,Arkansas,0,0.649,0.562,0.618
25200,Henderson,151629,KY,Kentucky,1,0.312,0.493,0.470
25300,Union City,117387,TN,Tennessee,0,-0.628,0.511,0.558
25401,Paducah,138654,KY,Kentucky,0,-0.247,0.539,0.580
25402,Murray,34177,KY,Kentucky,0,-0.021,1.087,1.282
25500,Centralia,141040,IL,Illinois,1,0.239,0.409,0.372
25601,Carbondale,265022,IL,Illinois,1,-0.486,0.316,0.311
25602,Harrisburg,37978,IL,Illinois,0,0.577,1.101,1.314
25701,Cape Girardeau,184036,MO,Missouri,1,0.146,0.335,0.377
25702,Poplar Bluff,73576,MO,Missouri,0,0.320,0.442,0.453
25800,Blytheville,105181,AR,Arkansas,0,0.006,0.387,0.410
25900,Jonesboro,198671,AR,Arkansas,1,-0.109,0.334,0.326
26001,Roseau,20860,MN,Minnesota,0,,,
26002,Duluth,286544,MN,Minnesota,1,-0.162,0.357,0.364
26003,West Cook UT,5168,MN,Minnesota,0,,,
26004,International Falls,14355,MN,Minnesota,0,,,
26101,Moberly,56535,MO,Missouri,0,-0.294,0.544,0.622
26102,Marshall,48599,MO,Missouri,0,-0.443,0.576,0.712
26103,Brookfield,22192,MO,Missouri,0,,,
26104,Trenton,14189,MO,Missouri,0,,,
26105,Polk,12442,MO,Missouri,0,,,
26106,Centerville,29873,IA,Iowa,0,-0.721,0.851,1.035
26107,Kirksville,38491,MO,Missouri,0,-0.656,3.668,5.134
26201,Bismarck,114739,ND,North Dakota,1,0.744,0.874,0.868
26202,East Grant UT,2841,ND,North Dakota,0,,,
26203,Linton,10029,ND,North Dakota,0,,,
26204,Steele,2753,ND,North Dakota,0,,,
26301,Devils Lake,22745,ND,North Dakota,0,,,
26302,Carrington,6516,ND,North Dakota,0,,,
26303,Turtle Mountain UT,16550,ND,North Dakota,0,,,
26304,Minot,74541,ND,North Dakota,0,1.680,0.996,1.127
26305,Rugby,11487,ND,North Dakota,0,,,
26401,Ekalaka,2713,SD,South Dakota,0,,,
26402,Baker,2837,MT,Montana,0,,,
26403,Bowman,4009,ND,North Dakota,0,,,
26404,Lemmon,8671,ND,North Dakota,0,,,
26405,Scobey,2017,MT,Montana,0,,,
26406,Wolf Point,12597,MT,Montana,0,,,
26407,Plentywood,4105,MT,Montana,0,,,
26408,Glasgow,12276,MT,Montana,0,,,
26409,Glendive,12051,MT,Montana,0,,,
26410,Dickinson,27124,ND,North Dakota,0,0.941,1.659,1.799
26411,Sidney,22035,ND,North Dakota,0,,,
26412,Williston,24286,ND,North Dakota,0,,,
26501,Brookings,40630,SD,South Dakota,0,0.457,0.955,1.189
26502,Madison,14160,SD,South Dakota,0,,,
26503,Sioux Falls,200630,SD,South Dakota,1,1.051,0.450,0.496
26504,Watertown,40078,SD,South Dakota,0,2.149,1.075,1.785
26601,Milbank,17801,MN,Minnesota,0,,,
26602,Sisseton,20859,SD,South Dakota,0,,,
26603,East Corson UT,8225,SD,South Dakota,1,,,
26604,Mobridge,7756,SD,South Dakota,0,,,
26605,Aberdeen,52825,SD,South Dakota,0,2.760,1.253,1.314
26701,Bemidji,101639,MN,Minnesota,0,0.117,0.429,0.393
26702,Grafton,31090,ND,North Dakota,0,0.096,1.079,1.087
26703,Thief River Falls,28038,MN,Minnesota,0,1.401,1.261,1.018
26704,Grand Forks,108213,ND,North Dakota,1,1.533,0.633,0.621
26801,Fargo,206945,ND,North Dakota,1,0.824,0.510,0.504
26802,Lisbon,16013,ND,North Dakota,0,,,
26803,Jamestown,38384,ND,North Dakota,0,1.056,1.284,1.270
26804,Cooperstown,2754,ND,North Dakota,0,,,
26901,Fergus Falls,117558,MN,Minnesota,0,0.432,0.427,0.488
26902,Little Falls,69851,MN,Minnesota,0,-0.273,0.438,0.431
27001,O'Neill,14875,NE,Nebraska,0,,,
